,latitude,longitude,zip_code,id,name,labels,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500
0,42.35888,-71.05682,92101,811,75,1,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,2,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0
1,37.238916,-121.973718,95032,170,781,1,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,2,1,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1
2,32.901049,-117.192656,92121,807,585,1,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,2,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,1
3,37.320309,-122.05004,95014,592,712,1,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,2,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3333,1
4,37.779281,-122.419236,94105,808,351,0,0.0,1.6685,0.0384,0.0384,2,2,1300000,1,2,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.0,1
5,37.406914,-122.09037,94043,310,450,0,4.5452,4.5452,5.0027,5.0027,3,1,7500000,1,2,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1
6,37.3915589,-122.0702643,94041,161,638,1,1.7205,5.211,3.0,6.6082,6,3,26000000,2,2,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.6667,1
7,38.057107,-122.513742,94901,698,144,1,1.6466,6.7616,5.6055,7.3616,25,3,34100000,3,2,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3.5,1
8,42.712207,-73.203599,1267,14,826,1,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,12,0,0,1,0,0,18,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,4.0,1
9,37.427235,-122.145783,94306,674,212,1,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,2,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.0,1
10,37.4429885,-122.1624131,94025,551,884,1,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,2,1,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1
11,37.452992,-122.185098,94025,663,135,0,1.0849,5.3370000000000015,-0.6164,4.6082,8,5,10400000,2,2,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.75,1
12,38.241467,-85.72451099999998,40204,426,629,0,4.9041,4.9041,,,0,1,350000,0,11,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0
13,40.70276,-73.98666800000002,11201,114,891,1,0.0192,2.4356,0.7945,4.3781,15,3,9950000,3,23,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2.3333,1
14,39.74627279999999,-104.9911572,80202,135,732,1,4.6658,8.9973,8.8384,8.8384,12,5,10700000,1,3,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1
15,38.901301,-77.265158,22182,720,363,0,6.6082,6.6082,,,0,1,200000,0,31,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0
16,37.39628270000001,-122.105531,94022,190,605,0,2.5863,6.7644,5.5014,5.5014,8,5,49000000,1,2,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3.5,1
17,37.590339,-122.341715,94010,20,453,1,4.5918,7.1726,-0.4986,12.6795,7,4,25000000,3,2,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,3.5,1
18,40.730646,-73.986614,10004,685,687,1,0.7425,1.5808,1.2849,3.0027,10,3,4575000,3,23,0,1,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,1
19,37.446411,-122.16054,94301,372,92,0,2.5014,2.8301,3.0877,3.4932,13,2,28000000,3,2,1,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1
20,30.2350399,-97.80012990000002,78735,301,465,1,2.2137,3.7863,4.0877,9.4986,8,2,4355000,3,29,0,0,0,1,0,30,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.5,0
21,47.6026054,-122.2848651,98122,235,323,0,3.8329,3.8329,3.7507,3.7507,3,1,15000000,1,32,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1
22,37.426316,-122.141082,94306,145,503,0,5.4904,5.4904,0.0,0.0,1,1,3170000,1,2,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0
23,37.764395,-122.401024,94103,21,578,0,-1.0,3.3151,3.6959,5.662999999999999,4,2,2300000,3,2,1,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0
24,40.010492,-105.276843,80302,639,238,0,0.2521,0.337,,,5,2,455000,0,3,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.5,1
25,41.875555,-87.624421,60601,635,108,1,4.8411,4.8411,1.0,1.0,3,1,13000000,1,9,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1
26,37.429676,-122.1085482,94303,456,654,1,4.0603,4.0603,3.0027,3.0027,7,1,15000000,1,2,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1
27,37.870102,-122.268136,94704,408,338,1,4.0685,4.0685,3.4192,5.2301,2,1,3800000,3,2,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1
28,30.2653441,-97.7435857,78701,514,630,1,2.5068,4.5315,4.9315,5.6767,37,5,299500000,2,29,0,0,0,1,0,34,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1.75,1
29,33.708708,-117.852069,92705,500,476,1,1.189,1.189,2.189,7.7753,5,1,1000000,3,2,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,1
30,37.422859,-122.045217,94035,290,19,0,1.3534,2.1644,4.5178,4.5178,3,2,10500000,1,2,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.0,1
31,47.603832,-122.330062,98119,412,424,1,4.1534,5.1671,3.0,3.0,6,2,8600000,1,32,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.5,1
32,36.002893,-78.904075,27701,393,894,0,-0.1671,2.0192,,,9,2,5000000,0,18,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1
33,37.779281,-122.419236,94105,121,385,1,0.0,0.8685,0.4137,2.1671,3,2,2304999,2,2,1,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1
34,40.441694,-79.990086,15219,484,882,0,0.0822,0.0822,,,2,1,25000,0,26,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0
35,40.73901,-73.997259,10011,626,234,0,2.6575,2.6575,0.0,0.0,1,1,4000000,1,23,0,1,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1
36,37.791137,-122.391843,94111,450,226,0,0.6192,1.5945,1.0,4.3315,8,2,14600000,3,2,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1
